,Unnamed: 0,content,cleaned_content,score,at,thumbsUpCount,sentiment_score,final_theme
750,750,This app is awesome. I am currently using the free version and it had everything I need. It truly makes it easy for you to stai organized and not lose tracks of priorities.,app awesome currently using free version everything need truly makes easy stai organized lose tracks priorities,5,2020-10-27 23:14:04,0,0.4583333333333333,Monetization Sentiment
751,751,Great product,great product,5,2020-10-27 18:29:07,0,0.8,Monetization Sentiment
752,752,"Great app, helps me to plan my day ahead",great app helps plan day ahead,5,2020-10-27 16:47:15,0,0.8,Retention Drivers
753,753,"This app is amazing, changed my life. I'm doing 3x tasks daily since I installed the app, I can't be lazy. The pro version is expesive for a student in my country.",app amazing changed life im x tasks daily since installed app cant lazy pro version expesive student country,5,2020-10-27 15:16:33,1,0.1166666666666667,Monetization Sentiment
754,754,Good app 🙂👍,good app,5,2020-10-27 12:19:27,0,0.7,Low Signal
755,755,I like this app. It is the most simple and straight forward of its type that I've found.,like app simple straight forward type ive found,5,2020-10-27 09:10:11,0,0.1,Monetization Sentiment
756,756,Very good,good,5,2020-10-27 08:09:38,0,0.7,Low Signal
757,757,Nice app Plzz start,nice app plzz start,5,2020-10-27 03:54:16,0,0.6,Low Signal
758,758,Good app,good app,5,2020-10-27 01:41:13,0,0.7,Low Signal
759,759,Great ☺️👌,great,5,2020-10-26 22:44:41,0,0.8,Low Signal
760,760,Great,great,5,2020-10-26 22:09:35,0,0.8,Low Signal
761,761,Really good to have when i have a busy week as can put appointments in all at once and other special dates,really good busy week put appointments special dates,5,2020-10-26 21:33:37,0,0.3857142857142857,Retention Drivers
762,762,It helps me so much now I can do what I have to do without forgotten anything It is so cool,helps much without forgotten anything cool,5,2020-10-26 17:44:03,0,0.275,Efficiency
763,763,Yrp,yrp,5,2020-10-26 15:29:22,0,0.0,Noise
764,764,Aungwaioo,aungwaioo,5,2020-10-26 04:15:41,0,0.0,Noise
765,765,"I started using this a week ago, it has already became a useful tool for being productive. Really recommend downloading",started using week ago already became useful tool productive really recommend downloading,5,2020-10-25 23:48:58,0,0.25,Monetization Sentiment
766,766,Good experiment.,good experiment,5,2020-10-25 21:24:44,0,0.7,Low Signal
767,767,Amazing and fantastic app❤️,amazing fantastic app,5,2020-10-25 19:59:50,0,0.5,Low Signal
768,768,Interesting,interesting,5,2020-10-25 18:17:30,0,0.5,Noise
